source,title,link,date,matched_keywords
TechCrunch,Ford rehires ‘gray beard’ engineers after AI falls short,https://techcrunch.com/2026/06/28/ford-rehires-gray-beard-engineers-after-ai-falls-short/,2026-06-29,"AI, Artificial Intelligence"
TechCrunch,Writer Ian Bogost says ‘The Small Stuff’ can help us reclaim our lives from too much convenience,https://techcrunch.com/2026/06/28/writer-ian-bogost-says-the-small-stuff-can-help-us-reclaim-our-lives-from-dematerialization/,2026-06-29,AI
TechCrunch,TechCrunch Mobility: All eyes on Tesla FSD,https://techcrunch.com/2026/06/28/techcrunch-mobility-all-eyes-on-tesla-fsd/,2026-06-29,AI
TechCrunch,Why Wall Street thinks US memory maker Micron is the next Nvidia,https://techcrunch.com/2026/06/28/why-wall-street-thinks-us-memory-maker-micron-is-the-next-nvidia/,2026-06-29,AI
TechCrunch,Govee’s smart nugget ice maker makes every iced drink feel like a luxury,https://techcrunch.com/2026/06/28/govees-smart-nugget-ice-maker-makes-every-iced-drink-feel-like-a-luxury/,2026-06-29,AI
TechCrunch,Indian payments chief thinks AI will be heavily involved in next era of digital payment growth,https://techcrunch.com/2026/06/27/indian-payments-chief-thinks-ai-will-be-heavily-involved-in-next-era-of-digital-payment-growth/,2026-06-29,"AI, India, Indian"
TechCrunch,Apple Vision Pro exec is reportedly leaving for OpenAI,https://techcrunch.com/2026/06/27/apple-vision-pro-exec-is-reportedly-leaving-for-openai/,2026-06-29,AI
TechCrunch,The fittest founder in the room got cancer. Here’s how he used AI to fight back.,https://techcrunch.com/2026/06/27/the-fittest-founder-in-the-room-got-cancer-heres-how-he-used-ai-to-fight-back/,2026-06-29,AI
TechCrunch,Asian AI startups launch Mythos-like  models as Anthropic’s export ban drags on,https://techcrunch.com/2026/06/27/asian-ai-startups-launch-mythos-like-models-as-anthropics-export-ban-drags-on/,2026-06-29,AI
TechCrunch,"Corgi, the buzzy Y Combinator-backed insurance tech startup, says it didn’t steal an open source product",https://techcrunch.com/2026/06/26/corgi-the-buzzy-y-combinator-backed-insurance-tech-startup-says-it-didnt-steal-an-open-source-product/,2026-06-29,AI
TechCrunch,"OpenAI limits GPT-5.6 rollout after government request, says restrictions shouldn’t be the norm",https://techcrunch.com/2026/06/26/openai-limits-gpt-5-6-rollout-after-government-request-says-restrictions-shouldnt-be-the-norm/,2026-06-29,AI
TechCrunch,OpenAI poaches Uber India chief to lead its biggest market outside the US,https://techcrunch.com/2026/06/26/openai-poaches-uber-india-chief-to-lead-its-biggest-market-outside-the-u-s/,2026-06-29,"AI, India"
TechCrunch,Why everyone from OpenAI to SpaceX is building their own chips (and turning up the heat on Nvidia),https://techcrunch.com/video/why-everyone-from-openai-to-spacex-is-building-their-own-chips-and-turning-up-the-heat-on-nvidia/,2026-06-29,AI
Google News (india),Why can’t India’s government build a decent website? - The Economist,https://news.google.com/rss/articles/CBMilgFBVV95cUxONnV3NVlmWFlGc0otdUI3RnYydTdjcjFpY1p5VVFKSXB2TTJyUEVTN1NZRk1UNGktWnpkU1FyXzRtZ215bk5INV83ZXQ5TW03Sml0YXdOR0RBV0c0Y1dNdnl2ajg3N1dDT3BuUU5qcVE1V1ZnMkxweDdYVV92RnpfZV9DcHZXV0hGTUVEZGNDaHdGb0xXd3c?oc=5,2026-06-29,"ML, India"
Google News (india),India’s vision is to make Indian Ocean an Ocean of Opportunity: PM Modi in Seychelles - The Hindu,https://news.google.com/rss/articles/CBMi7gFBVV95cUxNRDV3X0JocUhKZU1jMm45dXZlUkRldFMtb3huVUlPaWZJbGZFcTI2T1AyYjBZWnI0YW1mUkdMNUVLS2pqUG1UcEdxbmo0TGV2THJ3N3BEMVg4S295cGw3S2ZzQnk5ZlNLM2hJcEhnNzR4Mi1TNHY2UVY4RUg1V0VFdURnVFdrVkdxMkN4RHBheHRQM0otSENIQUlHUGYzNzk1eENFMlJfemdVazMtQWZOd1EzME5DZFc1b21jeWRDaXZpMjVoOHVZQ1FWVllXSE9Gc21zNmswVC1vYVgxbElBTVBFLU1faXVCSW1XOVB30gH0AUFVX3lxTE1hanBnSTh3TlpJRkJDTnVSU3Bjb3ZNMDJLRVhKWkxTVDczQnlEZVl6YzRqSHlIaWJ5b2o5MnJobnZIY0FTcWR2MDE5Q3JnZ0hhVndQYl9uTkUxWWQybXQza3FEdVI3aXZFT2c3UUhab0g3dF94MU9OMldsbEVybTRxbFdINko5clg2NjNmbndzSndobnctMDhlTVdjZGozbktMQXE2RWkxdnhZUFpFUU5OVTF4R25ZazVfX3g4cERTMGdSLWNxNjJ6eTRpQnU5VFZxc3hHQnVIUm1Ob21oV1hDTE1jbjJheGI3OVpSNVhoVWpOcFU?oc=5,2026-06-29,"ML, India, Indian"
Google News (india),Stealing from the gods: India’s Ram Temple hit by corruption scandal - Al Jazeera,https://news.google.com/rss/articles/CBMisAFBVV95cUxQNXczWkl4RVpNaUFxelk5cTlpd0k5V3ZDd3dNRlJjYmYwTGR5Wng2cVhDdDFPWDFKM1RlOTZKNU92dFh0ZWk2QlpvT2kwQnkzZmYyUV9fMnRHUXZZMURZWEFDaF8xNERJclhXNTFRSW8xSlV2RHMzcnZYYmNJblVuMTZlTnFsUXZxS2FqUlZmR0NlZlA4LXR3amdKWDdBSzI2T3YteFlxbFlxWk1BMU5jeNIBtgFBVV95cUxNVXd4aVpPZ19VQS1fU0pqdDRPNWxQb3I2aDBlVDhFU3pKUW9ZdkxVdFhtS1JNSldJaElpa0UxTlhZSGVsU3ZRUFA1SjU0elZieU1DTHo2Vmh4cHdlT1RVaTNYTjhnQ3NBVmRfaEQzZzVhVDR5Y2tXYmFKcG1xVkxxbEdRdHk4ZjBaS2JJMHR5QmFIWm1JSmRZRC0wTzhhWU9xa0RtM28tT0xzMlA2N1NGR0dRZ0dzQQ?oc=5,2026-06-29,"ML, India"
Google News (india),Mann Ki Baat: PM Modi says India is becoming increasingly secure and self | Akashvani News - News On AIR,https://news.google.com/rss/articles/CBMikAFBVV95cUxOTGdfZG9vOURieU1xbU4xTlllT0Zrd0UyQ1VOb1pYMmhQX2NER3Bzc3lEX0lIUzFwdnNDeEZ1UDhaYWlnYTVkV2ZJVVZjWkkyNXlGS0diS0RySkoxUVFMbEd1SXhYQ3I5QkhjSzAtQVlLcXNXb1ZseW4xZFBGUmQ1aXJXTUxyX3VId1RNQ0RfT18?oc=5,2026-06-29,"AI, India"
